id,filename,old_filename,md5,capture_date,device,plate_count,orientation,framing,positive_wells,negative_wells,marking_scheme,reference_strip,quality_grade,usable_for_calibration,issues,notes
DR001,DR001.jpeg,WhatsApp Image 2026-06-15 at 4.15.28 PM.jpeg,e18a1dd0884519087f0f172359775a77,2026-06-15,unknown,1,portrait,single-cropped,left-column-3,remaining-6,plus-arrow-cross,partial,C,no,"Plate truncated at right edge; strong specular glare; reference strip partly out of frame",Hand-marked sample
DR002,DR002.jpeg,WhatsApp Image 2026-06-15 at 4.15.29 PM (1).jpeg,2aa88ceabe67ade4db3da28014ca9c64,2026-06-15,unknown,1,landscape,single-full,left-column-3,remaining,none,center,B,yes,"Plate small in frame; paper glare lower-left",Full plate on registration sheet
DR003,DR003.jpeg,WhatsApp Image 2026-06-15 at 4.15.29 PM.jpeg,869dec22273e4b89c051a35a8b3ac770,2026-06-15,unknown,1,portrait,single-full,top-row-3,remaining,plus-arrow-cross,center,B,yes,"Plate far/small; glare on paper",Fully hand-marked (+ positives / x negatives / arrows)
DR004,DR004.jpeg,WhatsApp Image 2026-06-15 at 4.15.30 PM.jpeg,dcdceca6d106a98130ab7c0c779f3695,2026-06-15,unknown,1,landscape,single-full,left-column-3,remaining,none,center,B,yes,"Plate tilted ~10deg; glare lower edge; registration border drawn",On registration sheet
DR005,DR005.jpeg,WhatsApp Image 2026-06-16 at 11.28.19 AM.jpeg,052d6c637f584ddd2104f627ee9e1ed2,2026-06-16,unknown,1,portrait,single-closeup,top-row-3,remaining-6,none,below,A,yes,"None - sharp, even light, fills frame",REFERENCE-QUALITY exemplar; use as gold standard
DR006,DR006.jpeg,WhatsApp Image 2026-06-16 at 11.28.19 AM (1).jpeg,052d6c637f584ddd2104f627ee9e1ed2,2026-06-16,unknown,1,portrait,single-closeup,top-row-3,remaining-6,none,below,X,no,"Exact byte duplicate (md5) of DR005",DROP - duplicate
DR007,DR007.jpeg,WhatsApp Image 2026-06-16 at 4.44.03 PM.jpeg,2156573760871a66e06cb757a5dd78e1,2026-06-16,unknown,3,landscape,multi-3,top-row-3-each,remaining,none,per-plate,C,split-first,"Three plates in one frame; must crop into DR007a/b/c before use",Each sub-plate individually decent
DR008,DR008.jpeg,WhatsApp Image 2026-06-16 at 4.44.04 PM (1).jpeg,3dd727152dd7f487f9bf750cb7b3b1d4,2026-06-16,unknown,1,portrait,single-closeup,top-row-3,remaining-6,none,below,A,yes,"None - bright saturated positives, sharp",Strong positive exemplar
DR009,DR009.jpeg,WhatsApp Image 2026-06-16 at 4.44.04 PM (2).jpeg,480082a100105d06dbb6855b67278e45,2026-06-16,unknown,1,portrait,single-closeup,top-row-3,remaining-6,none,below,A,yes,"Minor specular glare on cyan reference patch",Strong positive exemplar
DR010,DR010.jpeg,WhatsApp Image 2026-06-16 at 4.44.04 PM.jpeg,16d09d69d868faaddfaf57546f0304b7,2026-06-16,unknown,1,portrait,single-closeup,top-row-3,remaining-6,none,below,A,yes,"Positives are faint/pale yellow",Good low-intensity positive case - valuable for threshold tuning
DR011,DR011.jpeg,WhatsApp Image 2026-06-16 at 4.44.05 PM (1).jpeg,0e6dd91e4a26e6ebab6ac7b70018dd55,2026-06-16,unknown,1,portrait,single-closeup,top-row-3,remaining-6,none,below,B,yes,"Slightly soft focus",Usable
DR012,DR012.jpeg,WhatsApp Image 2026-06-16 at 4.44.05 PM(1).jpeg,9f5fac888f7fffe580b2c80880a8f8f0,2026-06-16,unknown,3,portrait,context-rig,n/a,n/a,none,per-plate,X,no,"Environment/rig photo - plates on a stand at an angle, not a flat readable sample",Documents the capture setup (phone mount over lightbox)
DR013,DR013.jpeg,WhatsApp Image 2026-06-16 at 4.44.05 PM.jpeg,346f626bb5d20b3f6bce976853de4a7d,2026-06-16,vivo V40,3,portrait,multi-3,left-column-3-each,remaining,none,per-plate,C,split-first,"Three plates stacked vertically with perspective; crop into DR013a/b/c",EXIF: 24mm f/1.88 1/100s ISO1594
